source_id,source_type,target_id,target_type,weight,nt,spatial_x,spatial_y,pathway
100036,T4_T5_vertical,999030,VS1,19,ACh,4,1,VS
100037,T4_T5_horizontal,999020,HSN,12,ACh,5,1,HS
100037,T4_T5_vertical,999030,VS1,19,ACh,5,1,VS
100038,T4_T5_horizontal,999020,HSN,12,ACh,6,1,HS
100038,T4_T5_vertical,999030,VS1,16,ACh,6,1,VS
100039,T4_T5_horizontal,999020,HSN,10,ACh,7,1,HS
100039,T4_T5_vertical,999030,VS1,16,ACh,7,1,VS
100040,T4_T5_horizontal,999020,HSN,11,ACh,8,1,HS
100040,T4_T5_vertical,999030,VS1,19,ACh,8,1,VS
100041,T4_T5_horizontal,999020,HSN,9,ACh,9,1,HS
100041,T4_T5_vertical,999030,VS1,19,ACh,9,1,VS
100042,T4_T5_horizontal,999020,HSN,7,ACh,10,1,HS
100042,T4_T5_vertical,999030,VS1,17,ACh,10,1,VS
100043,T4_T5_horizontal,999020,HSN,6,ACh,11,1,HS
100043,T4_T5_vertical,999030,VS1,17,ACh,11,1,VS
100044,T4_T5_horizontal,999020,HSN,7,ACh,12,1,HS
100044,T4_T5_vertical,999030,VS1,19,ACh,12,1,VS
100045,T4_T5_horizontal,999020,HSN,6,ACh,13,1,HS
100045,T4_T5_vertical,999030,VS1,16,ACh,13,1,VS
100046,T4_T5_horizontal,999020,HSN,5,ACh,14,1,HS
100046,T4_T5_vertical,999030,VS1,17,ACh,14,1,VS
100047,T4_T5_horizontal,999020,HSN,4,ACh,15,1,HS
100047,T4_T5_vertical,999030,VS1,17,ACh,15,1,VS
100048,T4_T5_horizontal,999020,HSN,4,GABA,16,1,HS
100048,T4_T5_vertical,999030,VS1,17,ACh,16,1,VS
100049,T4_T5_vertical,999030,VS1,19,ACh,17,1,VS
100050,T4_T5_horizontal,999020,HSN,4,GABA,18,1,HS
100050,T4_T5_vertical,999030,VS1,19,ACh,18,1,VS
100051,T4_T5_horizontal,999020,HSN,5,GABA,19,1,HS
100051,T4_T5_vertical,999030,VS1,16,ACh,19,1,VS
100052,T4_T5_horizontal,999020,HSN,7,GABA,20,1,HS
100052,T4_T5_vertical,999030,VS1,16,ACh,20,1,VS
100053,T4_T5_horizontal,999020,HSN,9,GABA,21,1,HS
100053,T4_T5_vertical,999030,VS1,18,ACh,21,1,VS
100054,T4_T5_horizontal,999020,HSN,8,GABA,22,1,HS
100054,T4_T5_vertical,999030,VS1,16,ACh,22,1,VS
100055,T4_T5_horizontal,999020,HSN,10,GABA,23,1,HS
100055,T4_T5_vertical,999030,VS1,17,ACh,23,1,VS
100056,T4_T5_horizontal,999020,HSN,10,GABA,24,1,HS
100056,T4_T5_vertical,999030,VS1,16,ACh,24,1,VS
100057,T4_T5_horizontal,999020,HSN,13,GABA,25,1,HS
100057,T4_T5_vertical,999030,VS1,16,ACh,25,1,VS
100058,T4_T5_horizontal,999020,HSN,12,GABA,26,1,HS
100058,T4_T5_vertical,999030,VS1,19,ACh,26,1,VS
100059,T4_T5_horizontal,999020,HSN,15,GABA,27,1,HS
100059,T4_T5_vertical,999030,VS1,17,ACh,27,1,VS
100060,T4_T5_horizontal,999020,HSN,15,GABA,28,1,HS
100060,T4_T5_vertical,999030,VS1,18,ACh,28,1,VS
100061,T4_T5_horizontal,999020,HSN,15,GABA,29,1,HS
100061,T4_T5_vertical,999030,VS1,16,ACh,29,1,VS
100062,T4_T5_horizontal,999020,HSN,16,GABA,30,1,HS
100062,T4_T5_vertical,999030,VS1,19,ACh,30,1,VS
100063,T4_T5_horizontal,999020,HSN,17,GABA,31,1,HS
100063,T4_T5_vertical,999030,VS1,18,ACh,31,1,VS
100064,T4_T5_horizontal,999020,HSN,17,ACh,0,2,HS
100064,T4_T5_vertical,999030,VS1,17,ACh,0,2,VS
100065,T4_T5_horizontal,999020,HSN,16,ACh,1,2,HS
100065,T4_T5_vertical,999030,VS1,15,ACh,1,2,VS
100066,T4_T5_horizontal,999020,HSN,17,ACh,2,2,HS
100066,T4_T5_vertical,999030,VS1,18,ACh,2,2,VS
100067,T4_T5_horizontal,999020,HSN,15,ACh,3,2,HS
100067,T4_T5_vertical,999030,VS1,18,ACh,3,2,VS
100068,T4_T5_horizontal,999020,HSN,13,ACh,4,2,HS
100068,T4_T5_vertical,999030,VS1,18,ACh,4,2,VS
100069,T4_T5_horizontal,999020,HSN,13,ACh,5,2,HS
100069,T4_T5_vertical,999030,VS1,18,ACh,5,2,VS
100070,T4_T5_horizontal,999020,HSN,13,ACh,6,2,HS
100070,T4_T5_vertical,999030,VS1,15,ACh,6,2,VS
100071,T4_T5_horizontal,999020,HSN,10,ACh,7,2,HS
100071,T4_T5_vertical,999030,VS1,16,ACh,7,2,VS
100072,T4_T5_horizontal,999020,HSN,11,ACh,8,2,HS
100072,T4_T5_vertical,999030,VS1,15,ACh,8,2,VS
100073,T4_T5_horizontal,999020,HSN,8,ACh,9,2,HS
100073,T4_T5_vertical,999030,VS1,15,ACh,9,2,VS
100074,T4_T5_horizontal,999020,HSN,10,ACh,10,2,HS
100074,T4_T5_vertical,999030,VS1,18,ACh,10,2,VS
100075,T4_T5_horizontal,999020,HSN,8,ACh,11,2,HS
100075,T4_T5_vertical,999030,VS1,18,ACh,11,2,VS
100076,T4_T5_horizontal,999020,HSN,7,ACh,12,2,HS
100076,T4_T5_vertical,999030,VS1,17,ACh,12,2,VS
100077,T4_T5_horizontal,999020,HSN,7,ACh,13,2,HS
100077,T4_T5_vertical,999030,VS1,15,ACh,13,2,VS
100078,T4_T5_horizontal,999020,HSN,4,ACh,14,2,HS
100078,T4_T5_vertical,999030,VS1,15,ACh,14,2,VS
100079,T4_T5_horizontal,999020,HSN,5,ACh,15,2,HS
100079,T4_T5_vertical,999030,VS1,18,ACh,15,2,VS
100080,T4_T5_looming,999004,LC4,5,GABA,16,2,LC4
100080,T4_T5_horizontal,999020,HSN,4,GABA,16,2,HS
100080,T4_T5_vertical,999030,VS1,18,ACh,16,2,VS
100081,T4_T5_horizontal,999020,HSN,5,GABA,17,2,HS
100081,T4_T5_vertical,999030,VS1,18,ACh,17,2,VS
100082,T4_T5_horizontal,999020,HSN,4,GABA,18,2,HS
100082,T4_T5_vertical,999030,VS1,17,ACh,18,2,VS
100083,T4_T5_horizontal,999020,HSN,5,GABA,19,2,HS
100083,T4_T5_vertical,999030,VS1,17,ACh,19,2,VS
100084,T4_T5_horizontal,999020,HSN,8,GABA,20,2,HS
100084,T4_T5_vertical,999030,VS1,15,ACh,20,2,VS
100085,T4_T5_horizontal,999020,HSN,8,GABA,21,2,HS
100085,T4_T5_vertical,999030,VS1,15,ACh,21,2,VS
100086,T4_T5_horizontal,999020,HSN,8,GABA,22,2,HS
100086,T4_T5_vertical,999030,VS1,16,ACh,22,2,VS
100087,T4_T5_horizontal,999020,HSN,9,GABA,23,2,HS
100087,T4_T5_vertical,999030,VS1,15,ACh,23,2,VS
100088,T4_T5_horizontal,999020,HSN,10,GABA,24,2,HS
100088,T4_T5_vertical,999030,VS1,18,ACh,24,2,VS
100089,T4_T5_horizontal,999020,HSN,13,GABA,25,2,HS
100089,T4_T5_vertical,999030,VS1,17,ACh,25,2,VS
100090,T4_T5_horizontal,999020,HSN,12,GABA,26,2,HS
100090,T4_T5_vertical,999030,VS1,17,ACh,26,2,VS
100091,T4_T5_horizontal,999020,HSN,15,GABA,27,2,HS
100091,T4_T5_vertical,999030,VS1,17,ACh,27,2,VS
100092,T4_T5_horizontal,999020,HSN,14,GABA,28,2,HS
100092,T4_T5_vertical,999030,VS1,15,ACh,28,2,VS
100093,T4_T5_horizontal,999020,HSN,16,GABA,29,2,HS
100093,T4_T5_vertical,999030,VS1,17,ACh,29,2,VS
100094,T4_T5_horizontal,999020,HSN,18,GABA,30,2,HS
100094,T4_T5_vertical,999030,VS1,17,ACh,30,2,VS
100095,T4_T5_horizontal,999020,HSN,17,GABA,31,2,HS
100095,T4_T5_vertical,999030,VS1,18,ACh,31,2,VS
100096,T4_T5_horizontal,999020,HSN,18,ACh,0,3,HS
100096,T4_T5_vertical,999030,VS1,15,ACh,0,3,VS
100097,T4_T5_horizontal,999020,HSN,19,ACh,1,3,HS
100097,T4_T5_vertical,999030,VS1,17,ACh,1,3,VS
100098,T4_T5_horizontal,999020,HSN,17,ACh,2,3,HS
100098,T4_T5_vertical,999030,VS1,14,ACh,2,3,VS
100099,T4_T5_horizontal,999020,HSN,15,ACh,3,3,HS
100099,T4_T5_vertical,999030,VS1,15,ACh,3,3,VS
100100,T4_T5_horizontal,999020,HSN,16,ACh,4,3,HS
100100,T4_T5_vertical,999030,VS1,14,ACh,4,3,VS
100101,T4_T5_horizontal,999020,HSN,14,ACh,5,3,HS
100101,T4_T5_vertical,999030,VS1,15,ACh,5,3,VS
100102,T4_T5_horizontal,999020,HSN,11,ACh,6,3,HS
100102,T4_T5_vertical,999030,VS1,16,ACh,6,3,VS
100103,T4_T5_horizontal,999020,HSN,11,ACh,7,3,HS
100103,T4_T5_vertical,999030,VS1,16,ACh,7,3,VS
100104,T4_T5_horizontal,999020,HSN,11,ACh,8,3,HS
100104,T4_T5_vertical,999030,VS1,15,ACh,8,3,VS
100105,T4_T5_horizontal,999020,HSN,9,ACh,9,3,HS
100105,T4_T5_vertical,999030,VS1,14,ACh,9,3,VS
100106,T4_T5_horizontal,999020,HSN,9,ACh,10,3,HS
100106,T4_T5_vertical,999030,VS1,16,ACh,10,3,VS
100107,T4_T5_looming,999004,LC4,7,GABA,11,3,LC4
100107,T4_T5_horizontal,999020,HSN,6,ACh,11,3,HS
100107,T4_T5_vertical,999030,VS1,14,ACh,11,3,VS
100108,T4_T5_looming,999004,LC4,8,GABA,12,3,LC4
100108,T4_T5_horizontal,999020,HSN,7,ACh,12,3,HS
100108,T4_T5_vertical,999030,VS1,14,ACh,12,3,VS
100109,T4_T5_looming,999004,LC4,7,GABA,13,3,LC4
100109,T4_T5_horizontal,999020,HSN,4,ACh,13,3,HS
100109,T4_T5_vertical,999030,VS1,14,ACh,13,3,VS
100110,T4_T5_looming,999004,LC4,8,GABA,14,3,LC4
100110,T4_T5_horizontal,999020,HSN,4,ACh,14,3,HS
100110,T4_T5_vertical,999030,VS1,16,ACh,14,3,VS
100111,T4_T5_looming,999004,LC4,9,GABA,15,3,LC4
100111,T4_T5_horizontal,999020,HSN,5,ACh,15,3,HS
100111,T4_T5_vertical,999030,VS1,17,ACh,15,3,VS
100112,T4_T5_looming,999004,LC4,8,GABA,16,3,LC4
100112,T4_T5_horizontal,999020,HSN,3,GABA,16,3,HS
100112,T4_T5_vertical,999030,VS1,16,ACh,16,3,VS
100113,T4_T5_looming,999004,LC4,8,GABA,17,3,LC4
100113,T4_T5_vertical,999030,VS1,14,ACh,17,3,VS
100114,T4_T5_looming,999004,LC4,8,GABA,18,3,LC4
100114,T4_T5_horizontal,999020,HSN,5,GABA,18,3,HS
100114,T4_T5_vertical,999030,VS1,15,ACh,18,3,VS
100115,T4_T5_looming,999004,LC4,9,GABA,19,3,LC4
100115,T4_T5_horizontal,999020,HSN,5,GABA,19,3,HS
100115,T4_T5_vertical,999030,VS1,15,ACh,19,3,VS
100116,T4_T5_looming,999004,LC4,6,GABA,20,3,LC4
100116,T4_T5_horizontal,999020,HSN,5,GABA,20,3,HS
100116,T4_T5_vertical,999030,VS1,15,ACh,20,3,VS
100117,T4_T5_looming,999004,LC4,8,GABA,21,3,LC4
100117,T4_T5_horizontal,999020,HSN,9,GABA,21,3,HS
100117,T4_T5_vertical,999030,VS1,14,ACh,21,3,VS
100118,T4_T5_horizontal,999020,HSN,9,GABA,22,3,HS
100118,T4_T5_vertical,999030,VS1,14,ACh,22,3,VS
100119,T4_T5_horizontal,999020,HSN,9,GABA,23,3,HS
100119,T4_T5_vertical,999030,VS1,15,ACh,23,3,VS
100120,T4_T5_horizontal,999020,HSN,10,GABA,24,3,HS
100120,T4_T5_vertical,999030,VS1,15,ACh,24,3,VS
100121,T4_T5_horizontal,999020,HSN,11,GABA,25,3,HS
100121,T4_T5_vertical,999030,VS1,15,ACh,25,3,VS
100122,T4_T5_horizontal,999020,HSN,11,GABA,26,3,HS
100122,T4_T5_vertical,999030,VS1,14,ACh,26,3,VS
100123,T4_T5_horizontal,999020,HSN,12,GABA,27,3,HS
100123,T4_T5_vertical,999030,VS1,17,ACh,27,3,VS
100124,T4_T5_horizontal,999020,HSN,16,GABA,28,3,HS
100124,T4_T5_vertical,999030,VS1,16,ACh,28,3,VS
100125,T4_T5_horizontal,999020,HSN,17,GABA,29,3,HS
100125,T4_T5_vertical,999030,VS1,16,ACh,29,3,VS
100126,T4_T5_horizontal,999020,HSN,17,GABA,30,3,HS
100126,T4_T5_vertical,999030,VS1,16,ACh,30,3,VS
100127,T4_T5_horizontal,999020,HSN,19,GABA,31,3,HS
100127,T4_T5_vertical,999030,VS1,17,ACh,31,3,VS
100128,T4_T5_horizontal,999020,HSN,18,ACh,0,4,HS
100128,T4_T5_vertical,999030,VS1,15,ACh,0,4,VS
100129,T4_T5_horizontal,999020,HSN,18,ACh,1,4,HS
100129,T4_T5_vertical,999030,VS1,16,ACh,1,4,VS
100130,T4_T5_horizontal,999020,HSN,16,ACh,2,4,HS
100130,T4_T5_vertical,999030,VS1,14,ACh,2,4,VS
100131,T4_T5_horizontal,999020,HSN,14,ACh,3,4,HS
100131,T4_T5_vertical,999030,VS1,16,ACh,3,4,VS
100132,T4_T5_horizontal,999020,HSN,15,ACh,4,4,HS
100132,T4_T5_vertical,999030,VS1,13,ACh,4,4,VS
100133,T4_T5_horizontal,999020,HSN,13,ACh,5,4,HS
100133,T4_T5_vertical,999030,VS1,16,ACh,5,4,VS
100134,T4_T5_horizontal,999020,HSN,14,ACh,6,4,HS
100134,T4_T5_vertical,999030,VS1,13,ACh,6,4,VS
100135,T4_T5_horizontal,999020,HSN,11,ACh,7,4,HS
100135,T4_T5_vertical,999030,VS1,14,ACh,7,4,VS
100136,T4_T5_horizontal,999020,HSN,10,ACh,8,4,HS
100136,T4_T5_vertical,999030,VS1,14,ACh,8,4,VS
100137,T4_T5_looming,999004,LC4,8,GABA,9,4,LC4
100137,T4_T5_horizontal,999020,HSN,8,ACh,9,4,HS
100137,T4_T5_vertical,999030,VS1,16,ACh,9,4,VS
100138,T4_T5_looming,999004,LC4,8,GABA,10,4,LC4
100138,T4_T5_horizontal,999020,HSN,7,ACh,10,4,HS
100138,T4_T5_vertical,999030,VS1,16,ACh,10,4,VS
100139,T4_T5_looming,999004,LC4,10,GABA,11,4,LC4
100139,T4_T5_horizontal,999020,HSN,6,ACh,11,4,HS
100139,T4_T5_vertical,999030,VS1,13,ACh,11,4,VS
100140,T4_T5_looming,999004,LC4,11,GABA,12,4,LC4
100140,T4_T5_horizontal,999020,HSN,5,ACh,12,4,HS
100140,T4_T5_vertical,999030,VS1,13,ACh,12,4,VS
100141,T4_T5_looming,999004,LC4,10,GABA,13,4,LC4
100141,T4_T5_horizontal,999020,HSN,5,ACh,13,4,HS
100141,T4_T5_vertical,999030,VS1,15,ACh,13,4,VS
100142,T4_T5_looming,999004,LC4,11,GABA,14,4,LC4
100142,T4_T5_horizontal,999020,HSN,5,ACh,14,4,HS
100142,T4_T5_vertical,999030,VS1,13,ACh,14,4,VS
100143,T4_T5_looming,999004,LC4,11,GABA,15,4,LC4
100143,T4_T5_horizontal,999020,HSN,4,ACh,15,4,HS
100143,T4_T5_vertical,999030,VS1,14,ACh,15,4,VS
100144,T4_T5_looming,999004,LC4,11,GABA,16,4,LC4
100144,T4_T5_horizontal,999020,HSN,4,GABA,16,4,HS
100144,T4_T5_vertical,999030,VS1,14,ACh,16,4,VS
100145,T4_T5_looming,999004,LC4,10,GABA,17,4,LC4
100145,T4_T5_horizontal,999020,HSN,5,GABA,17,4,HS
100145,T4_T5_vertical,999030,VS1,16,ACh,17,4,VS
100146,T4_T5_looming,999004,LC4,11,GABA,18,4,LC4
100146,T4_T5_horizontal,999020,HSN,4,GABA,18,4,HS
100146,T4_T5_vertical,999030,VS1,15,ACh,18,4,VS
100147,T4_T5_looming,999004,LC4,11,GABA,19,4,LC4
100147,T4_T5_horizontal,999020,HSN,6,GABA,19,4,HS
100147,T4_T5_vertical,999030,VS1,13,ACh,19,4,VS
100148,T4_T5_looming,999004,LC4,11,GABA,20,4,LC4
100148,T4_T5_horizontal,999020,HSN,7,GABA,20,4,HS
100148,T4_T5_vertical,999030,VS1,13,ACh,20,4,VS
100149,T4_T5_looming,999004,LC4,9,GABA,21,4,LC4
100149,T4_T5_horizontal,999020,HSN,7,GABA,21,4,HS
100149,T4_T5_vertical,999030,VS1,16,ACh,21,4,VS
100150,T4_T5_looming,999004,LC4,9,GABA,22,4,LC4
100150,T4_T5_horizontal,999020,HSN,9,GABA,22,4,HS
100150,T4_T5_vertical,999030,VS1,15,ACh,22,4,VS
100151,T4_T5_looming,999004,LC4,8,GABA,23,4,LC4
100151,T4_T5_horizontal,999020,HSN,10,GABA,23,4,HS
100151,T4_T5_vertical,999030,VS1,14,ACh,23,4,VS
100152,T4_T5_horizontal,999020,HSN,9,GABA,24,4,HS
100152,T4_T5_vertical,999030,VS1,15,ACh,24,4,VS
100153,T4_T5_horizontal,999020,HSN,12,GABA,25,4,HS
100153,T4_T5_vertical,999030,VS1,13,ACh,25,4,VS
100154,T4_T5_horizontal,999020,HSN,14,GABA,26,4,HS
100154,T4_T5_vertical,999030,VS1,13,ACh,26,4,VS
100155,T4_T5_horizontal,999020,HSN,12,GABA,27,4,HS
100155,T4_T5_vertical,999030,VS1,15,ACh,27,4,VS
100156,T4_T5_horizontal,999020,HSN,16,GABA,28,4,HS
100156,T4_T5_vertical,999030,VS1,14,ACh,28,4,VS
100157,T4_T5_horizontal,999020,HSN,15,GABA,29,4,HS
100157,T4_T5_vertical,999030,VS1,16,ACh,29,4,VS
100158,T4_T5_horizontal,999020,HSN,15,GABA,30,4,HS
100158,T4_T5_vertical,999030,VS1,14,ACh,30,4,VS
100159,T4_T5_horizontal,999020,HSN,17,GABA,31,4,HS
100159,T4_T5_vertical,999030,VS1,15,ACh,31,4,VS
100160,T4_T5_horizontal,999020,HSN,20,ACh,0,5,HS
100160,T4_T5_vertical,999030,VS1,15,ACh,0,5,VS
100161,T4_T5_horizontal,999020,HSN,17,ACh,1,5,HS
100161,T4_T5_vertical,999030,VS1,14,ACh,1,5,VS
100162,T4_T5_horizontal,999020,HSN,17,ACh,2,5,HS
100162,T4_T5_vertical,999030,VS1,15,ACh,2,5,VS
100163,T4_T5_horizontal,999020,HSN,15,ACh,3,5,HS
100163,T4_T5_vertical,999030,VS1,15,ACh,3,5,VS
100164,T4_T5_horizontal,999020,HSN,15,ACh,4,5,HS
100164,T4_T5_vertical,999030,VS1,12,ACh,4,5,VS
100165,T4_T5_horizontal,999020,HSN,12,ACh,5,5,HS
100165,T4_T5_vertical,999030,VS1,13,ACh,5,5,VS
100166,T4_T5_horizontal,999020,HSN,13,ACh,6,5,HS
100166,T4_T5_vertical,999030,VS1,12,ACh,6,5,VS
100167,T4_T5_horizontal,999020,HSN,13,ACh,7,5,HS
100167,T4_T5_vertical,999030,VS1,15,ACh,7,5,VS
100168,T4_T5_looming,999004,LC4,6,GABA,8,5,LC4
100168,T4_T5_horizontal,999020,HSN,12,ACh,8,5,HS
100168,T4_T5_vertical,999030,VS1,12,ACh,8,5,VS
100169,T4_T5_looming,999004,LC4,10,GABA,9,5,LC4
100169,T4_T5_horizontal,999020,HSN,10,ACh,9,5,HS
100169,T4_T5_vertical,999030,VS1,14,ACh,9,5,VS
100170,T4_T5_looming,999004,LC4,9,GABA,10,5,LC4
100170,T4_T5_horizontal,999020,HSN,9,ACh,10,5,HS
100170,T4_T5_vertical,999030,VS1,12,ACh,10,5,VS
100171,T4_T5_looming,999004,LC4,11,GABA,11,5,LC4
100171,T4_T5_horizontal,999020,HSN,8,ACh,11,5,HS
100171,T4_T5_vertical,999030,VS1,15,ACh,11,5,VS
100172,T4_T5_looming,999004,LC4,13,GABA,12,5,LC4
100172,T4_T5_horizontal,999020,HSN,7,ACh,12,5,HS
100172,T4_T5_vertical,999030,VS1,13,ACh,12,5,VS
100173,T4_T5_looming,999004,LC4,11,GABA,13,5,LC4
100173,T4_T5_horizontal,999020,HSN,4,ACh,13,5,HS
100173,T4_T5_vertical,999030,VS1,13,ACh,13,5,VS
100174,T4_T5_looming,999004,LC4,12,GABA,14,5,LC4
100174,T4_T5_horizontal,999020,HSN,3,ACh,14,5,HS
100174,T4_T5_vertical,999030,VS1,14,ACh,14,5,VS
100175,T4_T5_looming,999004,LC4,13,GABA,15,5,LC4
100175,T4_T5_horizontal,999020,HSN,4,ACh,15,5,HS
100175,T4_T5_vertical,999030,VS1,14,ACh,15,5,VS
100176,T4_T5_looming,999004,LC4,12,GABA,16,5,LC4
100176,T4_T5_horizontal,999020,HSN,5,GABA,16,5,HS
100176,T4_T5_vertical,999030,VS1,15,ACh,16,5,VS
100177,T4_T5_looming,999004,LC4,14,GABA,17,5,LC4
100177,T4_T5_horizontal,999020,HSN,3,GABA,17,5,HS
100177,T4_T5_vertical,999030,VS1,14,ACh,17,5,VS
100178,T4_T5_looming,999004,LC4,14,GABA,18,5,LC4
100178,T4_T5_horizontal,999020,HSN,6,GABA,18,5,HS
100178,T4_T5_vertical,999030,VS1,13,ACh,18,5,VS
100179,T4_T5_looming,999004,LC4,13,GABA,19,5,LC4
100179,T4_T5_horizontal,999020,HSN,4,GABA,19,5,HS
100179,T4_T5_vertical,999030,VS1,15,ACh,19,5,VS
100180,T4_T5_looming,999004,LC4,13,GABA,20,5,LC4
100180,T4_T5_horizontal,999020,HSN,7,GABA,20,5,HS
100180,T4_T5_vertical,999030,VS1,13,ACh,20,5,VS
100181,T4_T5_looming,999004,LC4,12,GABA,21,5,LC4
100181,T4_T5_horizontal,999020,HSN,6,GABA,21,5,HS
100181,T4_T5_vertical,999030,VS1,13,ACh,21,5,VS
100182,T4_T5_looming,999004,LC4,10,GABA,22,5,LC4
100182,T4_T5_horizontal,999020,HSN,7,GABA,22,5,HS
100182,T4_T5_vertical,999030,VS1,14,ACh,22,5,VS
100183,T4_T5_looming,999004,LC4,8,GABA,23,5,LC4
100183,T4_T5_horizontal,999020,HSN,10,GABA,23,5,HS
100183,T4_T5_vertical,999030,VS1,14,ACh,23,5,VS
100184,T4_T5_looming,999004,LC4,7,GABA,24,5,LC4
100184,T4_T5_horizontal,999020,HSN,12,GABA,24,5,HS
100184,T4_T5_vertical,999030,VS1,14,ACh,24,5,VS
100185,T4_T5_horizontal,999020,HSN,13,GABA,25,5,HS
100185,T4_T5_vertical,999030,VS1,12,ACh,25,5,VS
100186,T4_T5_horizontal,999020,HSN,14,GABA,26,5,HS
100186,T4_T5_vertical,999030,VS1,12,ACh,26,5,VS
100187,T4_T5_horizontal,999020,HSN,13,GABA,27,5,HS
