source_id,source_type,target_id,target_type,weight,nt,spatial_x,spatial_y
200393,Tm_STMD_flank,999010,LC10,6,GABA,9,12
200394,Tm_STMD_flank,999010,LC10,6,GABA,10,12
200395,Tm_STMD_flank,999010,LC10,7,GABA,11,12
200396,Tm_STMD_flank,999010,LC10,5,GABA,12,12
200397,Tm_STMD_center,999010,LC10,7,ACh,13,12
200398,Tm_STMD_center,999010,LC10,7,ACh,14,12
200399,Tm_STMD_center,999010,LC10,7,ACh,15,12
200400,Tm_STMD_center,999010,LC10,11,ACh,16,12
200401,Tm_STMD_center,999010,LC10,10,ACh,17,12
200402,Tm_STMD_center,999010,LC10,8,ACh,18,12
200403,Tm_STMD_center,999010,LC10,6,ACh,19,12
200404,Tm_STMD_flank,999010,LC10,6,GABA,20,12
200405,Tm_STMD_flank,999010,LC10,6,GABA,21,12
200406,Tm_STMD_flank,999010,LC10,6,GABA,22,12
200407,Tm_STMD_flank,999010,LC10,7,GABA,23,12
200408,Tm_STMD_flank,999010,LC10,5,GABA,24,12
200424,Tm_STMD_flank,999010,LC10,5,GABA,8,13
200425,Tm_STMD_flank,999010,LC10,6,GABA,9,13
200426,Tm_STMD_flank,999010,LC10,7,GABA,10,13
200427,Tm_STMD_flank,999010,LC10,7,GABA,11,13
200429,Tm_STMD_center,999010,LC10,10,ACh,13,13
200430,Tm_STMD_center,999010,LC10,10,ACh,14,13
200431,Tm_STMD_center,999010,LC10,13,ACh,15,13
200432,Tm_STMD_center,999010,LC10,12,ACh,16,13
200433,Tm_STMD_center,999010,LC10,11,ACh,17,13
200434,Tm_STMD_center,999010,LC10,12,ACh,18,13
200435,Tm_STMD_center,999010,LC10,8,ACh,19,13
200436,Tm_STMD_center,999010,LC10,6,ACh,20,13
200437,Tm_STMD_flank,999010,LC10,7,GABA,21,13
200438,Tm_STMD_flank,999010,LC10,6,GABA,22,13
200439,Tm_STMD_flank,999010,LC10,7,GABA,23,13
200440,Tm_STMD_flank,999010,LC10,5,GABA,24,13
200455,Tm_STMD_flank,999010,LC10,5,GABA,7,14
200456,Tm_STMD_flank,999010,LC10,5,GABA,8,14
200457,Tm_STMD_flank,999010,LC10,6,GABA,9,14
200458,Tm_STMD_flank,999010,LC10,6,GABA,10,14
200459,Tm_STMD_flank,999010,LC10,5,GABA,11,14
200460,Tm_STMD_center,999010,LC10,7,ACh,12,14
200461,Tm_STMD_center,999010,LC10,11,ACh,13,14
200462,Tm_STMD_center,999010,LC10,15,ACh,14,14
200463,Tm_STMD_center,999010,LC10,17,ACh,15,14
200464,Tm_STMD_center,999010,LC10,17,ACh,16,14
200465,Tm_STMD_center,999010,LC10,18,ACh,17,14
200466,Tm_STMD_center,999010,LC10,14,ACh,18,14
200467,Tm_STMD_center,999010,LC10,10,ACh,19,14
200468,Tm_STMD_center,999010,LC10,8,ACh,20,14
200469,Tm_STMD_flank,999010,LC10,6,GABA,21,14
200470,Tm_STMD_flank,999010,LC10,7,GABA,22,14
200471,Tm_STMD_flank,999010,LC10,6,GABA,23,14
200472,Tm_STMD_flank,999010,LC10,6,GABA,24,14
200473,Tm_STMD_flank,999010,LC10,5,GABA,25,14
200487,Tm_STMD_flank,999010,LC10,5,GABA,7,15
200488,Tm_STMD_flank,999010,LC10,6,GABA,8,15
200489,Tm_STMD_flank,999010,LC10,6,GABA,9,15
200490,Tm_STMD_flank,999010,LC10,7,GABA,10,15
200492,Tm_STMD_center,999010,LC10,8,ACh,12,15
200493,Tm_STMD_center,999010,LC10,13,ACh,13,15
200494,Tm_STMD_center,999010,LC10,17,ACh,14,15
200495,Tm_STMD_center,999010,LC10,23,ACh,15,15
200496,Tm_STMD_center,999010,LC10,22,ACh,16,15
200497,Tm_STMD_center,999010,LC10,20,ACh,17,15
200498,Tm_STMD_center,999010,LC10,17,ACh,18,15
200499,Tm_STMD_center,999010,LC10,14,ACh,19,15
200500,Tm_STMD_center,999010,LC10,10,ACh,20,15
200502,Tm_STMD_flank,999010,LC10,6,GABA,22,15
200503,Tm_STMD_flank,999010,LC10,6,GABA,23,15
200504,Tm_STMD_flank,999010,LC10,6,GABA,24,15
200505,Tm_STMD_flank,999010,LC10,5,GABA,25,15
200520,Tm_STMD_flank,999010,LC10,6,GABA,8,16
200521,Tm_STMD_flank,999010,LC10,8,GABA,9,16
200522,Tm_STMD_flank,999010,LC10,6,GABA,10,16
200524,Tm_STMD_center,999010,LC10,9,ACh,12,16
200525,Tm_STMD_center,999010,LC10,15,ACh,13,16
200526,Tm_STMD_center,999010,LC10,18,ACh,14,16
200527,Tm_STMD_center,999010,LC10,22,ACh,15,16
200528,Tm_STMD_center,999010,LC10,26,ACh,16,16
200529,Tm_STMD_center,999010,LC10,23,ACh,17,16
200530,Tm_STMD_center,999010,LC10,17,ACh,18,16
200531,Tm_STMD_center,999010,LC10,12,ACh,19,16
200532,Tm_STMD_center,999010,LC10,11,ACh,20,16
200533,Tm_STMD_center,999010,LC10,7,ACh,21,16
200534,Tm_STMD_flank,999010,LC10,7,GABA,22,16
200535,Tm_STMD_flank,999010,LC10,7,GABA,23,16
200536,Tm_STMD_flank,999010,LC10,7,GABA,24,16
200537,Tm_STMD_flank,999010,LC10,5,GABA,25,16
200551,Tm_STMD_flank,999010,LC10,5,GABA,7,17
200552,Tm_STMD_flank,999010,LC10,7,GABA,8,17
200553,Tm_STMD_flank,999010,LC10,7,GABA,9,17
200554,Tm_STMD_flank,999010,LC10,7,GABA,10,17
200556,Tm_STMD_center,999010,LC10,7,ACh,12,17
200557,Tm_STMD_center,999010,LC10,11,ACh,13,17
200558,Tm_STMD_center,999010,LC10,17,ACh,14,17
200559,Tm_STMD_center,999010,LC10,22,ACh,15,17
200560,Tm_STMD_center,999010,LC10,22,ACh,16,17
200561,Tm_STMD_center,999010,LC10,23,ACh,17,17
200562,Tm_STMD_center,999010,LC10,18,ACh,18,17
200563,Tm_STMD_center,999010,LC10,14,ACh,19,17
200564,Tm_STMD_center,999010,LC10,10,ACh,20,17
200565,Tm_STMD_flank,999010,LC10,5,GABA,21,17
200566,Tm_STMD_flank,999010,LC10,7,GABA,22,17
200567,Tm_STMD_flank,999010,LC10,7,GABA,23,17
200568,Tm_STMD_flank,999010,LC10,7,GABA,24,17
200569,Tm_STMD_flank,999010,LC10,5,GABA,25,17
200583,Tm_STMD_flank,999010,LC10,5,GABA,7,18
200584,Tm_STMD_flank,999010,LC10,5,GABA,8,18
200585,Tm_STMD_flank,999010,LC10,6,GABA,9,18
200586,Tm_STMD_flank,999010,LC10,7,GABA,10,18
200587,Tm_STMD_flank,999010,LC10,5,GABA,11,18
200588,Tm_STMD_center,999010,LC10,6,ACh,12,18
200589,Tm_STMD_center,999010,LC10,11,ACh,13,18
200590,Tm_STMD_center,999010,LC10,13,ACh,14,18
200591,Tm_STMD_center,999010,LC10,16,ACh,15,18
200592,Tm_STMD_center,999010,LC10,19,ACh,16,18
200593,Tm_STMD_center,999010,LC10,19,ACh,17,18
200594,Tm_STMD_center,999010,LC10,13,ACh,18,18
200595,Tm_STMD_center,999010,LC10,12,ACh,19,18
200596,Tm_STMD_center,999010,LC10,8,ACh,20,18
200597,Tm_STMD_flank,999010,LC10,5,GABA,21,18
200598,Tm_STMD_flank,999010,LC10,6,GABA,22,18
200599,Tm_STMD_flank,999010,LC10,7,GABA,23,18
200600,Tm_STMD_flank,999010,LC10,6,GABA,24,18
200616,Tm_STMD_flank,999010,LC10,5,GABA,8,19
200617,Tm_STMD_flank,999010,LC10,6,GABA,9,19
200618,Tm_STMD_flank,999010,LC10,6,GABA,10,19
200619,Tm_STMD_flank,999010,LC10,6,GABA,11,19
200621,Tm_STMD_center,999010,LC10,9,ACh,13,19
200622,Tm_STMD_center,999010,LC10,9,ACh,14,19
200623,Tm_STMD_center,999010,LC10,12,ACh,15,19
200624,Tm_STMD_center,999010,LC10,13,ACh,16,19
200625,Tm_STMD_center,999010,LC10,11,ACh,17,19
200626,Tm_STMD_center,999010,LC10,9,ACh,18,19
200627,Tm_STMD_center,999010,LC10,7,ACh,19,19
200628,Tm_STMD_center,999010,LC10,7,ACh,20,19
200629,Tm_STMD_flank,999010,LC10,7,GABA,21,19
200630,Tm_STMD_flank,999010,LC10,7,GABA,22,19
200631,Tm_STMD_flank,999010,LC10,6,GABA,23,19
200632,Tm_STMD_flank,999010,LC10,5,GABA,24,19
200648,Tm_STMD_flank,999010,LC10,5,GABA,8,20
200649,Tm_STMD_flank,999010,LC10,6,GABA,9,20
200650,Tm_STMD_flank,999010,LC10,6,GABA,10,20
200651,Tm_STMD_flank,999010,LC10,6,GABA,11,20
200652,Tm_STMD_flank,999010,LC10,5,GABA,12,20
200654,Tm_STMD_center,999010,LC10,9,ACh,14,20
200655,Tm_STMD_center,999010,LC10,7,ACh,15,20
200656,Tm_STMD_center,999010,LC10,10,ACh,16,20
200657,Tm_STMD_center,999010,LC10,9,ACh,17,20
200658,Tm_STMD_center,999010,LC10,8,ACh,18,20
200660,Tm_STMD_flank,999010,LC10,5,GABA,20,20
200661,Tm_STMD_flank,999010,LC10,6,GABA,21,20
200662,Tm_STMD_flank,999010,LC10,7,GABA,22,20
200663,Tm_STMD_flank,999010,LC10,6,GABA,23,20
200664,Tm_STMD_flank,999010,LC10,5,GABA,24,20
200681,Tm_STMD_flank,999010,LC10,5,GABA,9,21
200682,Tm_STMD_flank,999010,LC10,7,GABA,10,21
200683,Tm_STMD_flank,999010,LC10,7,GABA,11,21
200684,Tm_STMD_flank,999010,LC10,6,GABA,12,21
200685,Tm_STMD_flank,999010,LC10,7,GABA,13,21
200686,Tm_STMD_flank,999010,LC10,6,GABA,14,21
200688,Tm_STMD_center,999010,LC10,7,ACh,16,21
200690,Tm_STMD_flank,999010,LC10,6,GABA,18,21
200691,Tm_STMD_flank,999010,LC10,6,GABA,19,21
200692,Tm_STMD_flank,999010,LC10,6,GABA,20,21
200693,Tm_STMD_flank,999010,LC10,6,GABA,21,21
200694,Tm_STMD_flank,999010,LC10,6,GABA,22,21
200695,Tm_STMD_flank,999010,LC10,5,GABA,23,21
200714,Tm_STMD_flank,999010,LC10,6,GABA,10,22
200715,Tm_STMD_flank,999010,LC10,7,GABA,11,22
200716,Tm_STMD_flank,999010,LC10,6,GABA,12,22
200717,Tm_STMD_flank,999010,LC10,6,GABA,13,22
200718,Tm_STMD_flank,999010,LC10,7,GABA,14,22
200719,Tm_STMD_flank,999010,LC10,7,GABA,15,22
200720,Tm_STMD_flank,999010,LC10,6,GABA,16,22
200721,Tm_STMD_flank,999010,LC10,6,GABA,17,22
200722,Tm_STMD_flank,999010,LC10,7,GABA,18,22
200723,Tm_STMD_flank,999010,LC10,6,GABA,19,22
200724,Tm_STMD_flank,999010,LC10,6,GABA,20,22
200725,Tm_STMD_flank,999010,LC10,6,GABA,21,22
200726,Tm_STMD_flank,999010,LC10,5,GABA,22,22
200746,Tm_STMD_flank,999010,LC10,5,GABA,10,23
200747,Tm_STMD_flank,999010,LC10,5,GABA,11,23
200748,Tm_STMD_flank,999010,LC10,6,GABA,12,23
200749,Tm_STMD_flank,999010,LC10,7,GABA,13,23
200750,Tm_STMD_flank,999010,LC10,7,GABA,14,23
200751,Tm_STMD_flank,999010,LC10,7,GABA,15,23
200752,Tm_STMD_flank,999010,LC10,7,GABA,16,23
200753,Tm_STMD_flank,999010,LC10,7,GABA,17,23
200754,Tm_STMD_flank,999010,LC10,6,GABA,18,23
200755,Tm_STMD_flank,999010,LC10,6,GABA,19,23
200756,Tm_STMD_flank,999010,LC10,6,GABA,20,23
200757,Tm_STMD_flank,999010,LC10,5,GABA,21,23
200758,Tm_STMD_flank,999010,LC10,5,GABA,22,23
200781,Tm_STMD_flank,999010,LC10,6,GABA,13,24
200782,Tm_STMD_flank,999010,LC10,6,GABA,14,24
200783,Tm_STMD_flank,999010,LC10,7,GABA,15,24
200784,Tm_STMD_flank,999010,LC10,7,GABA,16,24
200785,Tm_STMD_flank,999010,LC10,6,GABA,17,24
200786,Tm_STMD_flank,999010,LC10,5,GABA,18,24
200787,Tm_STMD_flank,999010,LC10,6,GABA,19,24
200815,Tm_STMD_flank,999010,LC10,5,GABA,15,25
200816,Tm_STMD_flank,999010,LC10,5,GABA,16,25
200817,Tm_STMD_flank,999010,LC10,5,GABA,17,25
